gene,symbol,baseMean,HD.mean,Control.mean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000234409.3,AC006547.14,80.93217264,39.16071636,97.98174663,-1.449097922,0.256710151,-5.644879712,1.65E-08,2.38E-06
ENSG00000244479.2,RP4-798C17.6,12.12471415,23.79237066,7.362405375,1.579363846,0.280125089,5.638066384,1.72E-08,2.46E-06
ENSG00000136436.9,CALCOCO2,1935.505728,2319.381132,1778.82189,0.557797714,0.098998967,5.634379117,1.76E-08,2.50E-06
ENSG00000037042.8,TUBG2,3733.792573,2868.47208,4086.98461,-0.584440138,0.103869318,-5.626686959,1.84E-08,2.58E-06
ENSG00000123364.3,HOXC13,0.531387142,1.783701321,0.020238497,2.78096572,0.494189065,5.627331555,1.83E-08,2.58E-06
ENSG00000189266.7,PNRC2,2444.739565,3052.195504,2196.798366,0.473708802,0.084192865,5.626472069,1.84E-08,2.58E-06
ENSG00000214300.6,SPDYE3,228.1054842,176.4095857,249.2058509,-0.727731255,0.12936228,-5.625528982,1.85E-08,2.58E-06
ENSG00000011465.12,DCN,1857.288662,3664.646098,1119.591749,1.394114745,0.247994198,5.621561947,1.89E-08,2.63E-06
ENSG00000134575.5,ACP2,956.9689258,742.6235913,1044.456817,-0.610460299,0.108630043,-5.619626761,1.91E-08,2.65E-06
ENSG00000101306.6,MYLK2,42.98410044,26.5694491,49.68395814,-1.229449073,0.218830903,-5.618260745,1.93E-08,2.66E-06
ENSG00000153162.8,BMP6,164.3930963,300.8217974,108.7079122,1.40106647,0.24955006,5.614370404,1.97E-08,2.69E-06
ENSG00000167747.9,C19orf48,258.5171658,183.6641038,289.069436,-0.825068923,0.146975833,-5.613636664,1.98E-08,2.69E-06
ENSG00000178947.7,LINC00086,1812.460172,1271.292516,2033.34493,-0.876438587,0.156092047,-5.614883036,1.97E-08,2.69E-06
ENSG00000260027.2,HOXB7,3.304245455,7.880721399,1.43629609,2.346913783,0.418206906,5.61184846,2.00E-08,2.70E-06
ENSG00000077942.13,FBLN1,633.8468139,997.5908076,485.3798777,1.147933692,0.204654552,5.609128557,2.03E-08,2.71E-06
ENSG00000149573.3,MPZL2,156.5289589,345.3536545,79.45765457,1.991242646,0.355008821,5.608994837,2.04E-08,2.71E-06
ENSG00000187079.10,TEAD1,1279.300045,1599.721893,1148.515617,0.748539301,0.133421923,5.610317149,2.02E-08,2.71E-06
ENSG00000164188.4,RANBP3L,1286.211523,2326.391117,861.6484226,1.532951301,0.273360932,5.607792195,2.05E-08,2.71E-06
ENSG00000144445.11,KANSL1L,1109.464877,1377.583956,1000.028518,0.549153458,0.098133351,5.595992093,2.19E-08,2.89E-06
ENSG00000197579.3,TOPORS,647.2049654,813.2460697,579.4330861,0.541335269,0.096773697,5.593826499,2.22E-08,2.92E-06
ENSG00000078399.11,HOXA9,0.818938684,2.626952888,0.080973702,2.713396797,0.486026027,5.582822002,2.37E-08,3.05E-06
ENSG00000152952.7,PLOD2,910.7406523,1261.050038,767.7572295,0.916558834,0.164121684,5.58462971,2.34E-08,3.05E-06
ENSG00000163220.10,S100A9,337.9771631,776.4199192,159.0209361,2.22309826,0.398140415,5.583704084,2.35E-08,3.05E-06
ENSG00000231768.1,RP5-855F14.1,144.2073447,239.5887946,105.2761407,1.455990924,0.260751075,5.583834789,2.35E-08,3.05E-06
ENSG00000261040.2,CTD-2319I12.1,16.73643082,48.17651894,3.903741791,2.518743806,0.451209536,5.58220429,2.37E-08,3.05E-06
ENSG00000081692.8,JMJD4,328.3611192,272.3790543,351.2109416,-0.547406074,0.098110246,-5.579499575,2.41E-08,3.08E-06
ENSG00000180353.6,HCLS1,431.2819212,626.6719814,351.5308762,1.401308693,0.251218698,5.578042961,2.43E-08,3.09E-06
ENSG00000147168.8,IL2RG,24.73903198,41.2903859,17.98337732,1.237585962,0.222338882,5.56621473,2.60E-08,3.28E-06
